SEAM slot,SEAM pin,Signal ID,Pigtail slot,Pigtail pin,GBTx ID,Conn to PT,DCB slot,DCB pin,Conn to other DCBs
0,G42,2.5V,,,,False,,,False
0,G45,2.5V,,,,False,,,False
0,G46,2.5V,,,,False,,,False
0,G49,2.5V,,,,False,,,False
0,G50,2.5V,,,,False,,,False
0,H39,AGND,,,,False,,,False
0,H40,AGND,0,I27,None,True,,,False
0,H40,AGND,1,I27,None,True,,,False
0,H40,AGND,1,A05,None,True,,,False
0,E2,B1,,,,False,,,False
0,E50,B3,,,,False,,,False
0,G35,DC_OUT_RCLK0_N,,,,False,,,False
0,G36,DC_OUT_RCLK0_P,,,,False,,,False
0,G39,DC_OUT_RCLK1_N,1,C05,None,True,,,False
0,G40,DC_OUT_RCLK1_P,1,D05,None,True,,,False
0,G43,DC_OUT_RCLK2_N,,,,False,,,False
0,G44,DC_OUT_RCLK2_P,,,,False,,,False
0,G47,DC_OUT_RCLK3_N,1,G27,None,True,,,False
0,G48,DC_OUT_RCLK3_P,1,H27,None,True,,,False
0,G27,DC_OUT_RCLK4_N,,,,False,,,False
0,G28,DC_OUT_RCLK4_P,,,,False,,,False
0,G31,DC_OUT_RCLK5_N,0,G27,None,True,,,False
0,G32,DC_OUT_RCLK5_P,0,H27,None,True,,,False
0,A43,DC0_ELK_CH0_N,,,,False,,,False
0,A44,DC0_ELK_CH0_P,,,,False,,,False
0,A47,DC0_ELK_CH1_N,,,,False,,,False
0,A48,DC0_ELK_CH1_P,,,,False,,,False
0,F45,DC0_ELK_CH10_N,0,I29,00 - 1,True,,,False
0,F46,DC0_ELK_CH10_P,0,J29,00 - 1,True,,,False
0,F49,DC0_ELK_CH11_N,0,I28,00 - 1,True,,,False
0,F50,DC0_ELK_CH11_P,0,J28,00 - 1,True,,,False
0,B45,DC0_ELK_CH2_N,,,,False,,,False
0,B46,DC0_ELK_CH2_P,,,,False,,,False
0,B49,DC0_ELK_CH3_N,0,G31,00 - 1,True,,,False
0,B50,DC0_ELK_CH3_P,0,H31,00 - 1,True,,,False
0,C43,DC0_ELK_CH4_N,0,G30,00 - 1,True,,,False
0,C44,DC0_ELK_CH4_P,0,H30,00 - 1,True,,,False
0,C47,DC0_ELK_CH5_N,0,G29,00 - 1,True,,,False
0,C48,DC0_ELK_CH5_P,0,H29,00 - 1,True,,,False
0,D45,DC0_ELK_CH6_N,0,G28,00 - 1,True,,,False
0,D46,DC0_ELK_CH6_P,0,H28,00 - 1,True,,,False
0,D49,DC0_ELK_CH7_N,,,,False,,,False
0,D50,DC0_ELK_CH7_P,,,,False,,,False
0,E43,DC0_ELK_CH8_N,0,I31,00 - 1,True,,,False
0,E44,DC0_ELK_CH8_P,0,J31,00 - 1,True,,,False
0,E47,DC0_ELK_CH9_N,0,I30,00 - 1,True,,,False
0,E48,DC0_ELK_CH9_P,0,J30,00 - 1,True,,,False
0,A35,DC1_ELK_CH0_N,,,,False,,,False
0,A36,DC1_ELK_CH0_P,,,,False,,,False
0,A39,DC1_ELK_CH1_N,,,,False,,,False
0,A40,DC1_ELK_CH1_P,,,,False,,,False
0,F37,DC1_ELK_CH10_N,1,J21,00 - 2,True,,,False
0,F38,DC1_ELK_CH10_P,1,I21,00 - 2,True,,,False
0,F41,DC1_ELK_CH11_N,1,G20,00 - 2,True,,,False
0,F42,DC1_ELK_CH11_P,1,H20,00 - 2,True,,,False
0,B37,DC1_ELK_CH2_N,1,I18,00 - 2,True,,,False
0,B38,DC1_ELK_CH2_P,1,J18,00 - 2,True,,,False
0,B41,DC1_ELK_CH3_N,1,I19,00 - 2,True,,,False
